subject,gender,age
467351,M,31-35
468050,F,31-35
469961,F,26-30
473952,F,31-35
475855,F,26-30
479762,M,22-25
480141,F,22-25
481042,F,31-35
481143,F,31-35
481951,F,22-25
485757,F,31-35
486759,M,31-35
492754,F,26-30
495255,M,31-35
497764,M,22-25
497865,M,26-30
499566,F,26-30
500222,F,26-30
506234,M,26-30
510225,F,26-30
510326,F,26-30
512835,M,31-35
513130,F,26-30
513736,F,22-25
516742,M,31-35
517239,M,22-25
518746,M,22-25
519647,M,26-30
519950,F,31-35
520228,M,22-25
521331,F,26-30
522434,F,26-30
523032,M,31-35
524135,M,22-25
525541,F,26-30
529549,F,26-30
529953,M,26-30
530635,M,26-30
531536,M,31-35
531940,F,22-25
536647,F,31-35
537952,F,26-30
540436,M,31-35
541640,M,26-30
541943,F,26-30
545345,M,31-35
547046,F,26-30
548250,M,22-25
549757,F,26-30
550035,M,26-30
550439,M,22-25
551138,F,26-30
552241,M,22-25
552544,F,31-35
553344,F,31-35
555348,F,31-35
555651,F,31-35
555954,M,26-30
557857,M,22-25
558657,M,22-25
558960,F,31-35
559053,F,31-35
559457,M,31-35
561242,F,22-25
561444,M,22-25
561949,M,26-30
562345,F,31-35
562446,F,31-35
564046,M,31-35
565452,F,22-25
566454,F,26-30
567052,M,31-35
567759,F,26-30
567961,F,22-25
568963,F,31-35
569864,F,26-30
569965,F,31-35
570243,F,26-30
571043,F,26-30
571144,M,22-25
571548,M,26-30
572045,F,31-35
573249,M,26-30
573451,M,22-25
574958,M,31-35
576255,F,31-35
577762,F,31-35
578057,F,26-30
578158,M,26-30
579665,F,31-35
579867,F,31-35
580044,F,26-30
580347,F,26-30
580650,F,31-35
580751,M,22-25
581349,M,31-35
581450,M,22-25
583858,M,31-35
584355,M,31-35
585256,F,31-35
585862,F,26-30
586460,F,26-30
587664,F,26-30
588565,M,31-35
589567,M,22-25
590047,M,22-25
592455,M,31-35
594156,M,26-30
597869,M,31-35
598568,M,26-30
599065,M,22-25
599469,F,31-35
599671,M,26-30
601127,M,22-25
604537,M,22-25
609143,F,31-35
611231,F,31-35
611938,M,22-25
613235,F,26-30
613538,F,26-30
614439,F,26-30
615441,M,22-25
615744,F,26-30
616645,M,22-25
617748,F,26-30
618952,M,22-25
620333,F,26-30
620434,F,26-30
622236,M,22-25
623137,F,31-35
623844,M,26-30
626648,F,22-25
627549,F,31-35
627852,M,26-30
628248,M,26-30
630134,F,31-35
632037,F,22-25
632845,M,26-30
633847,F,22-25
634748,F,22-25
635245,M,26-30
638049,F,31-35
644044,M,31-35
